LNR,RESPONSE
1754,0.01336496682078471
1770,0.012894281134112702
1465,0.0038630406987077053
1470,0.003685026128530433
1478,0.00923743598741094
1782,0.0031837172598211307
1485,0.003005091689211378
1519,0.019056045968209975
1835,0.01579564978679558
1522,0.003207545913798783
1539,0.0031532141878786507
1853,0.028610113694609543
1856,0.007015806370758003
2502,0.0023109822956136326
2182,0.011306953861093885
2191,0.011126956191762504
2522,0.015213624902146566
2530,0.020034654838002153
2215,0.00243140860859806
2550,0.01894531673761523
2570,0.003332362533764096
2574,0.0023392833074249407
2579,0.0067905208042595535
2247,0.02244676945844054
2674,0.0036211798969577606
11434,0.0023821928131942437
11122,0.016148196131141778
11127,0.02591462219459593
11443,0.024695359144155996
11170,0.011323739427749929
11191,0.0035776215096620097
11198,0.059248143784044784
10936,0.010216826605870729
11244,0.0022380647747559735
11247,0.011432979897935834
11252,0.003584307683884762
11259,0.011445223930175054
10945,0.0023440236079135014
10951,0.011842547406566012
11271,0.023992061728070852
10963,0.019728129435584302
11282,0.0040072448812286925
11291,0.003275471981691805
10980,0.005737049044471923
10994,0.002382426067610842
10998,0.011323739427749929
11303,0.005150792228397174
11630,0.0023506795293158243
11636,0.0023234405187169275
11949,0.0023059521185064963
11950,0.018246591779335967
11956,0.014858967194708795
11648,0.011323739427749929
11653,0.03733624973692833
11967,0.002427758947881665
11972,0.003384307227850871
11975,0.002404868532485296
12110,0.0044051303105367996
12113,0.01811841970323889
11712,0.0024383810046910127
11716,0.010216826605870729
12000,0.002297883966029733
11722,0.016500035857993464
12023,0.011323739427749929
12046,0.0025718225552444672
11762,0.011445223930175054
12071,0.0022353386570744187
12077,0.0023058084905101125
11785,0.012411815093438864
11788,0.002382052848915472
11790,0.002805877481157041
11800,0.03006458927277118
11806,0.002225021982797849
11816,0.003140702961758179
11505,0.003251181038381304
11837,0.00229708469966009
11531,0.016071994841729362
11848,0.0023133057143729357
11854,0.0022944702889794444
11877,0.0030762922799331834
11563,0.002332859353694188
11567,0.0023554275885457926
11894,0.0022325091698372074
11906,0.002378953533897467
11917,0.011323739427749929
11610,0.011323739427749929
11923,0.004574803615650104
12596,0.0023486161257986735
12603,0.0022083555410838097
12608,0.0021419127095373184
12633,0.002335541386011822
12637,0.0050119721541347475
21484,0.011445223930175054
21184,0.002296643056431376
21247,0.0040569066885368455
20991,0.02317585061496069
21018,0.0032743232216877775
21019,0.016399002292989583
21047,0.002350989069620863
21054,0.002346891059693697
21374,0.003247632476847452
21392,0.0029661924564104492
21713,0.00276088697040644
22019,0.002326854754609712
22025,0.018666264545301032
21722,0.03185562767929854
21728,0.002348373946325046
22039,0.011323739427749929
22044,0.0024571105499962276
61900,0.0030496170974489145
62548,0.011806184707889578
63176,0.0022747926925739646
64473,0.02416512344964117
64779,0.04157054933386545
64780,0.0022165555516662472
64784,0.00229708469966009
65105,0.011323739427749929
65431,0.01672502303202307
65433,0.036902969803077175
66055,0.0028435339754408254
66071,0.011323739427749929
61280,0.012321084545629473
61281,0.007891828100944697
61284,0.003011403758590285
61597,0.0023300914087483154
61606,0.0022852156376503793
62235,0.041014544723079464
62240,0.0023076977845338004
62241,0.002210475270264712
62555,0.026260760734186914
62557,0.005648446269147973
62565,0.0025213003868709517
62566,0.03278723055430266
63515,0.0023641274905314437
63524,0.018275277414386153
64797,0.0022562641383885237
65116,0.010216826605870729
75249,0.0022132865155019546
75253,0.021359360262582935
75575,0.012567972029164109
76212,0.002403021536100326
71422,0.005135498438299497
72059,0.008026438197155317
72060,0.003482762441425523
72383,0.0024253274519867394
72386,0.004022535560849311
72700,0.0021637904307529525
72715,0.0036496939568789457
73028,0.0034558415884031806
73346,0.0031428565463518785
73658,0.002253998968579169
73662,0.025454487334260364
73666,0.008314978690304765
73668,0.005648446269147973
73985,0.01854182784385785
74299,0.002561861479300468
74310,0.009149136104938739
74312,0.02498596260507486
74619,0.0022725813834378276
74620,0.0025658374039944265
74627,0.002430689181313816
74938,0.0036108835137854895
74952,0.0022394866186306954
75911,0.0023008740214733956
75913,0.002310901784064426
76221,0.002232944643087421
76227,0.0031549736933125924
71448,0.0025285036392742118
15887,0.002297883966029733
15498,0.0024809331469953363
